Autor,Título,Área do Conhecimento,Tipo Documento,Unidade,Ano,Link
"Abreu, Amanda Moniz de",Os crimes de perigo abstrato na Sociedade Global de Risco,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26112013-150227/?&lang=br
"Aguiar, Carolina Costa de",Externalidades positivas e custos dos espaços protegidos em áreas de produção su...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-06082013-153620/?&lang=br
"Aguiar, Lucas Andrade",Tratamento diferenciado dos países em desenvolvimento no órgão de solução de controvérsias...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-01062015-152036/?&lang=br
"Alexandre, Juliana",A relação entre o método dialético e deliberativo em Aristóteles,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-17122013-092858/?&lang=br
"Almeida, Gabriela Perissinotto de",A obrigação de cumprir a lei e a desobediência civil como forma de oposição às leis...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26052015-205711/?&lang=br
"Alves, Felipe Chanteau Abuchaim",Lei n° 12.760/2012: um simbolismo violador de direitos e seu questionável benefício...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-01092016-083927/?&lang=br
"Alves, Mariana Agarie Sant'Ana",Incidente de Resolução de Demandas Repetitivas,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2017,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-07122018-110820/?&lang=br
"Amaral, Ana Paula Pavanello do",Regulação e concorrência: breve panorama sobre o setor de energia elétrica brasi...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-11052015-145714/?&lang=br
"Amato, André Luís Vedovato",A conformação do mercado da educação superior privada no Brasil: Análise a partir...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-23052017-190619/?&lang=br
"Andrade, Mariana Cunha de",Alienação Parental e o Sistema de Justiça Brasileiro,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2017,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-22052017-144639/?&lang=br
"Antonietto, André Luis Gomes",Análise do Perfil Institucional dos Conselhos de Políticas Públicas de Ribeirão Preto...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-11052015-171527/?&lang=br
"Aquino, Pedro Lopes de",Dolo eventual ou culpa consciente no homicídio por embriaguez no trânsito  ánálise...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-06092016-144235/?&lang=br
"Aratani, Danilo Fujinami",Análise da natureza e eficácia do art. 3º da Constituição Federal de 1988,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26062015-135432/?&lang=br
"Araujo, Ana Carolina Palma de",O direito por outras vozes: reflexões críticas a partir da música de Racionais Mcs...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-30012014-095827/?&lang=br
"Ariyoshi, Karen Harumi",As interfaces entre a proteção internacional do meio ambiente e o desenvolvimento...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-10122013-085850/?&lang=br
"Assis, Natália Mendes de",Os princípios informadores e substituição tributária progressiva no âmbito do IC...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-30012014-164507/?&lang=br
"Balestra, Vinícius Batelli de Souza",Direito à Memória em Contextos de Transição Política,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-20122013-095726/?&lang=br
"Barreiros, Gustavo Alem",Estatísticas criminais oficiais brasileiras como evidências empíricas: um estudo...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-27052015-145612/?&lang=br
"Barros, Vitor Ortiz Amando de",O Bicameralismo brasileiro: análise e perspectivas,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-06082015-165727/?&lang=br
"Barroso, Melina Chagas",Direito à morte: autonomia para morrer com dignidade,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-10062015-140252/?&lang=br
"Basile, Flávio",As cláusulas pro soluto e pro solvendo no contrato de factoring,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-09122013-082852/?&lang=br
"Benatti, Raysa Masson",Migração de cérebros: panorama no início do século XXI e especificidades brasi...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-10062015-163119/?&lang=br
"Bertella, André de Cezare",O clube de futebol como sociedade empresária,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-25082016-094538/?&lang=br
"Boldrin, Paulo Henrique Martinucci",A efetividade da Comissão de Análise de Solicitações Especiais na judicialização...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-10062015-160412/?&lang=br
"Bonato, Maria Elisa Palomine",A desaposentação: uma análise jurisprudencial,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-17122013-094453/?&lang=br
"Brito, Ricardo Tieri de",Retribuição e Justiça na Oresteia de Ésquilo,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-18122013-152358/?&lang=br
Bruna de Cassia Teixeira,ACESSO AOS BENS DE SAÚDE PELA VIA JUDICIAL NA JURISPRUDÊNCIA DO SUPREMO TRIBUNAL...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-02082013-122707/?&lang=br
"Caixeta, Ricardo Lima",Qualificação de títulos judiciais pelo registrador de imóveis,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26062015-140416/?&lang=br
"Campos, Ana Carolina Zavaglia Malta",Autocomposição como meio de resolução de conflitos civis: a mediação,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-27112013-090729/?&lang=br
"Campos, Carolina Silva",O papel das taxas ambientais na promoção do meio ambiente ecologicamente equilib...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-30012014-101425/?&lang=br
"Carvalho, Aruan Filipe Osório e",Concentração empresarial x Concentração econômica,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-27112013-154923/?&lang=br
"Carvalho, Gabriele Angelucci",Outorga onerosa do direito de construir e a efetivação da função social da propriedade...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-09122013-091755/?&lang=br
"Castro, Cristiano da Dalt",Tutela Jurídica do Aquífero Guarani em Ribeirão Preto e suas Consequências Socia...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-29082016-095319/?&lang=br
"Cesário, Natália de Aquino",A discriminação na cobrança de tarifas de energia e telefonia como estratégia de...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-10062015-141614/?&lang=br
"Chaves, Bruna Salgado",A política criminal de drogas na América Latina: análise comparativa das políticas...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26082016-112919/?&lang=br
"Clementino, Frederico Geraldo",Produção antecipada de provas sem urgência no novo Código de Processo Civil (Lei...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-01092016-101036/?&lang=br
"Coelho, Emily Alves de Souza",Análise de manejo ambiental para o controle do carrapato Amblyomma sp no campus da...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-31082016-090428/?&lang=br
"Coelho, Thales Cavalcanti",O consentimento da vítima na criminalização da eutanásia,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-12082013-090133/?&lang=br
"Cordido, Ruth Maria de Barros Reicao",O Tombamento do Patrimônio Cultural Imóvel no Brasil: Estudo de Caso no Município...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26062015-141109/?&lang=br
"Cruvinel, Carolina Garcia",ARBITRAGEM E O DIREITO TRABALHISTA: A (IN)APLICABILIDADE NOS CONFLITOS INDIVIDUA...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-23052017-185640/?&lang=br
"Cunha, Jorge Eduardo Celano de Vasconcelos",Responsabilidade extracontratual do Estado,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-02092016-105401/?&lang=br
"Czimmermann, Fernanda Riviera",A operação urbana consorciada da região do Porto do Rio de Janeiro sob a ótica do...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-28112013-090528/?&lang=br
"Dario, Bruno Baltieri","O setor sucroenergético e a terceirização do corte, carregamento e transporte de...",Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-12052015-202614/?&lang=br
"Dias Neto, Zózimo de Paula",Adoção por famílias homoafetivas: visão histórico-jurídica,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-20122013-101813/?&lang=br
"Dias, Luara Borges",Delação Premiada como Instrumento de Regulação Econômica: Utilização de acordos de...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-22052017-164502/?&lang=br
"Diogo, Tharik",Irretroatividade da interpretação jurisprudencial mais gravosa da norma penal,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-20122013-091108/?&lang=br
"Drago, Vinicius Ehrhardt Julio",Aspectos dogmáticos da colaboração premiada: instrumento legítimo ou afronta ao garantismo...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-16052017-145014/?&lang=br
"Duarte, Marcos Vinicius Horvath",O conflito de competência entre CADE e Banco Central acerca da análise das operações...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-09062015-172522/?&lang=br
"Esposito, Marina Troncoso",A influência da governança corporativa na proteção do acionista minoritário,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-18122013-105611/?&lang=br
"Fabiani, Igor Longo",O contrato de franchising e a proteção da marca e do know-how do franqueador,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-27052015-160943/?&lang=br
"Faria, Isabela Brockelmann de",O contrato de franchising: obrigações do franqueado,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-09122013-100136/?&lang=br
"Faria, João Gabriel Menezes",Da tutela cautelar à tutela antecipada: características dos institutos e o tema no...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-10122013-082040/?&lang=br
"Favaretto, Rodolfo Isper",Securitização de recebíveis: aspectos jurídicos e econômicos da operação,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-14092016-084809/?&lang=br
"Felitte, Almir Valente",Desmilitarização da Polícia: uma reforma da segurança pública para a adequação do...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-11052015-144908/?&lang=br
"Fernandes, Anna Carolina Fagundes",A desconsideração da personalidade jurídica da sociedade limitada e a limitação temporal...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-23052017-190312/?&lang=br
"Ferreira, Gabriela Lotufo Cintra",Reflexões sobre arbitragem e Administração Pública,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-09122013-091017/?&lang=br
"Ferreira, Leonardo Mortensen Nunes","A elisão fiscal, a evasão fiscal e o parágrafo único do artigo 116 do Código Tributário...",Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-30012014-121156/?&lang=br
"Ferreira, Vítor Carmona",A nova Lei de Licitações: o conceito de proposta globalmente mais vantajosa,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-15052017-143121/?&lang=br
"Fiatikoski, Camila Silveira",O ius vitae necisque no exercício da patria potestas,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,0,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-30012014-100654/?&lang=br
"Filgueiras, Lucas Akel",O Insider Trading nos tribunais,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-31012014-085552/?&lang=br
"Flores, Antonio Augusto Poloto","O Simples Nacional, o pacto federativo e a não cumulatividade do ICMS",Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2017,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-21112018-162156/?&lang=br
"Flores, José Eduardo de Lima",Evolução dos conceitos de responsabilidade de proteger e responsabilidade ao proteger:...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-30012014-120034/?&lang=br
Francisco Sergio Nunes,Crime de abuso de autoridade (Lei 4.898/65)  uma abordagem frente ao principio da...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-09122013-085400/?&lang=br
"Funakura, Sílvio Yoshio",Análise da Natureza Jurídica da Citação e as Formas de como Impugnar seus Vícios...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-20122013-084948/?&lang=br
"Funari, Marcos Hime",Do positivismo jurídico ao relativismo cultural: uma análise crítica,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-31012014-090219/?&lang=br
"Furilli, Laissa Shimabucoro",A CRISE DO CONHECIMENTO: AMPLIANDO AS FORMAS DE PENSAR O ENSINO E CULTURA JURÍDICA...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-22052017-204713/?&lang=br
"Gasiola, Gustavo Gil",O instituto da concessão e a infraestrutura,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-27052015-153558/?&lang=br
"Ginjo, Milena de Mayo",Descosturando para construir: Contribuições para a elaboração de novas perspectivas...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-18122013-110701/?&lang=br
"Hamra, Isabela Calijuri",O excesso de prazo na prisão preventiva e a antecipação indevida do cumprimento da...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-02092016-085229/?&lang=br
"Hanser, Ingrid Foltz",Comércio de partes do corpo humano: tráfico de órgãos no Brasil e argumentos acerca...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-01092016-130946/?&lang=br
"Herschander, Paulo Pereira de Miranda",A Soberania dos Veredictos do Tribunal do Júri,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-10062015-161820/?&lang=br
"Imaizumi, Nathali",A lei de mobilidade urbana: infraestrutura sustentável e impacto no meio ambiente...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-31012014-092224/?&lang=br
"Ishida, Jéssica Satie",Da relação entre a proteção jurídica da propriedade intelectual e o desenvolvimento...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-29052015-144850/?&lang=br
"Jensen, Victor Ramos",Da validade do contrato de cessão de direitos econômicos do atleta profissional de...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-16052017-151013/?&lang=br
"Jesus, Rafael Santos de",O princípio da correlação e suas principais consequências no processo penal mode...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-06092016-151810/?&lang=br
"Kapoco, Fernando dos Anjos",Contradições entre o Centro Tradicional Ombala do MBalundu e o Tribunal Provincial...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2017,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-22112018-132437/?&lang=br
"Kiritschenko, Ana Carolina Barbosa",O efeito direto das normas internacionais consuetudinárias no ordenamento jurídico...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2017,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-21112018-160154/?&lang=br
"Leal, Gabriela de Oliveira",Natureza e regime jurídico da aplicação de parcelas do imposto sobre a renda e parâmetros...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-23052017-171538/?&lang=br
"Leandro, Thaís Guerra",A descriminalização do porte de drogas ilícitas para consumo pessoal e o estigma...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-14092016-105816/?&lang=br
"Leite, Júlia Campos",ABORDAGEM JURÍDICA DA VIOLÊNCIA OBSTÉTRICA,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-23052017-165756/?&lang=br
"Lemes, Mauricio Buosi",O discurso da meritocracia e a democratização das instituições de ensino superior...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-22052017-144018/?&lang=br
"Lima, Éttore de",O limite entre o dever do cargo público e a liberdade da vida privada do servidor...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-15092016-111049/?&lang=br
"Lima, Raíssa Vrijdags Belo de",A conveniência da celebração de acordos bilaterais de investimentos pelo Brasil em...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-14092016-080700/?&lang=br
"Lomba, Juliana Ferretti",Implicações do novo código Florestal sobre o instituto da responsabilidade civil...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-01062015-135930/?&lang=br
"Longhi, Alan Hilário",Direito e Arte: A Marginalização do Artesão de Rua no Brasil,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-29042015-153247/?&lang=br
"Lourenço, Adriano José","A falência do sistema carcerário, um reflexo da criminalização da pobreza: Um estudo...",Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-29042015-144528/?&lang=br
Lucas da Silva Peres,O tratamento autorregulamentar da publicidade abusiva que fere o princípio geral...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-08082013-154346/?&lang=br
"Lucena, Elisa Vanzella de","Competência material, distribuiço orçamentária e seu relacionamento acesso à educação...",Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-30012014-104421/?&lang=br
"Luswarghi, Ludi",Responsabilidade civil do médico na cirurgia estética,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-16122013-105154/?&lang=br
"Luvizotto, Barbara",A aplicação da teoria dos efeitos nos atos de concentração: análise à luz da lei...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-11052015-201819/?&lang=br
"Luzia, Vitor Rinaldi de",Holding como estrutura de sociedades familiares,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-20122013-100852/?&lang=br
"Macedo, Rafael Leme",Limites de atuação do Ministério Público na tutela dos direitos do consumidor,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-31012014-092731/?&lang=br
"Machado, Gustavo Campoli",A regularização fundiária de áreas favelizadas sob o prisma da função social da posse...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-27052015-162447/?&lang=br
"Machado, Sara Luiza",Terceirização e seu reflexo no ordenamento jurídico brasileiro,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26062015-141711/?&lang=br
"Malateaux, Lilian Rosa Benedetti",A publicidade enganosa por omissão frente ao direito do consumidor.,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-01062015-145805/?&lang=br
"Marin, Lucas Wicher",A Legalização da Maconha no Século XXI: Um estudo comparado entre as experiências...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-22052017-154424/?&lang=br
"Martins, Renan Alves Cordeiro",A Constituição e as drogas: possibilidade jurídica da aplicação efetiva da redução...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26062015-135841/?&lang=br
"Mascia, Tiago Amador","As inovações do Decreto Nº 8.058, de 26 de julho de 2013, nos procedimentos administrativos...",Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26062015-142359/?&lang=br
"Massaini, Felipe Batista",As Políticas Públicas no Brasil: análise da ausência de ferramentas adequadas ao...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-23052017-184902/?&lang=br
"Matsuura, Thaís Lie",A negociação coletiva e a terceirização no setor privado no Brasil,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-20122013-090251/?&lang=br
"Matubara, Alexandre Hideto",Cartel e programa de leniência à luz da teoria dos jogos,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-25082016-084138/?&lang=br
"Meireles, Maria Raquel Baeta",Legitimação do poder político no Estado Moderno a partir dos conceitos de representação...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-09062015-172906/?&lang=br
"Mello, Rafael Campos",O PRINCÍPIO DA OCUPAÇÃO EFETIVA NO DIREITO DESPORTIVO BRASILEIRO,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-22052017-142656/?&lang=br
"Melo, Ana Maria Aguiar Assunção de",As finalidades da pena como critério de legitimidade e de limitação à imposição de...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-27112013-120257/?&lang=br
"Meloni, Nina Chaim",Responsabilidade civil por danos ambientais no setor agroindustrial do etanol: análise...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-10062015-150122/?&lang=br
"Mian, Ingrid Garbuio",Os mecanismos de participação popular da Lei de Processo Administrativo Federal frente...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-09122013-094621/?&lang=br
"Milanezi, Arthur Motta",Insider trading: uma análise da jurisprudência da comissão de valores mobiliário...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-25082016-121911/?&lang=br
"Minto, Andressa Olmedo",A efetividade das medidas cautelares pessoais alternativas à prisão cautelar,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-15092016-080027/?&lang=br
